via,zona,note
Via delle Terme,residenziale,
Vicolo delle Viole,residenziale,
Via Francesco DI Giorgio Martini,residenziale,
Via Nicola DI Mastrantonio,residenziale,
Via Giuseppe DI Vittorio,residenziale,
Via Giuseppe Diaschi,residenziale,
Via Duilio Diotallevi,residenziale,
Via Donatori DI Sangue,residenziale,
Via Henri Dunant,residenziale,
Via Luigi Einaudi,residenziale,
Via Augusto Elia,residenziale,
Via Erbarella,residenziale,
Via Esinante,residenziale,
Largo Europa,residenziale,
Via Bartolomeo Eustachi,residenziale,
Piazza Giovanni Falcone,residenziale,
Via Giuseppe Farri,residenziale,
Via Giuseppe Fava,residenziale,
Piazza Federico Secondo DI Svevia,residenziale,
Via Arzelio Felcini,residenziale,
Via Ezio Felicetti,residenziale,
Via Enrico Fermi,residenziale,
Via Sante Ferrari,residenziale,
Via Massimo Ferretti,residenziale,
Vicolo Fiasconi,residenziale,
Via Elio Fileni,residenziale,
Via Finlandia,residenziale,
Via Fiorenzuola,residenziale,
Via Pietro Fioretti,residenziale,
Via Fiume,residenziale,
Via Fontalbino,residenziale,
Via Fontedamo,industriale,
Via Carlo Forlanini,residenziale,
Via Giustino Fortunato,residenziale,
Via Francia,residenziale,
Via Franciolini,residenziale,
Via Romeo Frezzi,residenziale,
Via Friuli,residenziale,
Via Guglielmo Gabetto,residenziale,
Via Fratel Rinaldo Galante,residenziale,
Via Claudio Galeno,residenziale,
Via Gallodoro,residenziale,
Via Enrico Galvaligi,residenziale,
Vicolo Luigi Galvani,residenziale,
Via Mohandas Karamchand Gandhj,residenziale,
Via Gangalia Alta,residenziale,
Via Gangalia Bassa,residenziale,
Via Giuseppe Garibaldi,residenziale,
Via Gentile da Fabriano,residenziale,
Via Alberico Gentili,residenziale,
Via Aldo Gherardi,residenziale,
Via Alessandro Ghislieri,residenziale,
Piazza Angelo Ghislieri,residenziale,
Via Antonio Gianandrea,residenziale,
Via Felice Giani,residenziale,
Via Beniamino Gigli,residenziale,
Via Giovanni Battista Giorgini,residenziale,
Via Giovanni Mestica,residenziale,
Piazzale Giovanni Paolo II,residenziale,
Viale Giovanni XXIII,residenziale,
Via Boris Giuliano,residenziale,
Via Giulio Latini,residenziale,
Via Giulio Pastore,residenziale,
Via Pietro Gobetti,residenziale,
Via Gola della Rossa,residenziale,
Via Gorgolungo,residenziale,
Via Gorizia,residenziale,
Largo Grammercato,residenziale,
Via Antonio Gramsci,residenziale,
Via Achille Grandi,residenziale,
Via Granita,residenziale,
Via Libero Grassi,residenziale,
Via Grecia,residenziale,
Via Raffaele Grilli,residenziale,
Via Pietro Grizio,residenziale,
Via Grotte DI Frasassi,residenziale,
Via Giuseppe Guerri,residenziale,
Vicolo Guglielmi,residenziale,
Via I Maggio,residenziale,
Via Matteo Imbriani,residenziale,
Via Peppino Impastato,residenziale,
Piazza Indipendenza,residenziale,
Via Inghilterra,residenziale,
Via Ippocrate,residenziale,
Via IV Novembre,residenziale,
Via Jugoslavia,residenziale,
Via John Kennedy,residenziale,
Via Massimiliano Kolbe,residenziale,
Via La Larga,residenziale,
Via Ugo La Malfa,residenziale,
Via Pio La Torre,residenziale,
Via Gaetano Lapis,residenziale,
Via Lazio,residenziale,
Via Mario Lenti,residenziale,
Via Leone XIII,residenziale,
Via Giacomo Leopardi,residenziale,
Via Libero Leonardi,residenziale,
Via Liguria,residenziale,
Via Ezio Loik,residenziale,
Costa Lombarda,residenziale,
Via Lombardia,residenziale,
Via Aurelio Longhi,residenziale,
Via Lorenzo Lotto,residenziale,
Via Lucagnolo,residenziale,
Via Lucania,residenziale,
Via Almerino Luconi,residenziale,
Via Lussemburgo,residenziale,
Via Maccarata,residenziale,
Via Macerata,residenziale,
Passeggiata Maestri del Lavoro d'Italia,residenziale,
Via Giacomo Magagnini,residenziale,
Via Magini Coletti,residenziale,
Piazzale Luciano Maiolatesi,residenziale,
Via Maiolati,residenziale,
Piazza Marcello Malpighi,residenziale,
Via Terenzio Mamiani,residenziale,
Via Luigi Mancini,residenziale,
Via Suor Maria Mannori,residenziale,
Via Carlo Maratta,residenziale,
Via Marche,residenziale,
Via Guglielmo Marconi,residenziale,
Via Edmondo Marcucci,residenziale,
Via Virgilio Maroso,residenziale,
Via Marsala,residenziale,
Viale Martin Luther King,residenziale,
Via Martiri della Liberta',residenziale,
Via Martiri delle Foibe Istriane,residenziale,
Via Carlo Marx,residenziale,
Via Mastella,residenziale,
Corso Giacomo Matteotti,residenziale,
Via Mazzangrugno,residenziale,
Via Giuseppe Mazzini,residenziale,
Via Valentino Mazzola,residenziale,
Via Pericle Mazzoleni,residenziale,
Via Luigi Mercantini,residenziale,
Costa Mezzalancia,residenziale,
Via Luigi Alessandro Michelangeli,residenziale,
Piazzale Don Lorenzo Milani,residenziale,
Via Minonna,residenziale,
Viale Don Giovanni Minzoni,residenziale,
Via Misa,residenziale,
Piazza Raffaele Molinelli,residenziale,
Via Molise,residenziale,
Via Monte Carpegna,residenziale,
Via Monte Catria,residenziale,
Via Monte Conero,residenziale,
Via Monte Cucco,residenziale,
Via Monte della Sibilla,residenziale,
Via Monte Grappa,residenziale,
Via Monte Murano,residenziale,
Via Monte Nerone,residenziale,
Via Monte Petrano,residenziale,
Via Monte Priora,residenziale,
Via Monte Revellone,residenziale,
Via Monte San Vicino,residenziale,
Via Monte Tabor,residenziale,
Via Monte Vettore,residenziale,
Via Montebello,residenziale,
Via Montecappone,periferia_ovest,
Via Montecarotto,residenziale,
Via Montegiacomo,residenziale,
Via Montegranale,residenziale,
Via Montelatiero,residenziale,
Via Montello,residenziale,
Via Monteroberto,residenziale,
Via Montesecco,residenziale,
Via Maria Montessori,residenziale,
Via Monti Sibillini,residenziale,
Via Alcibiade Moretti,residenziale,
Vicolo Moriconi,residenziale,
Via Ciro Amedeo Moriconi,residenziale,
Via Aldo Moro,residenziale,
Via Mura Occidentali,residenziale,
Via Mura Orientali,residenziale,
Via Gioacchino Murat,residenziale,
Via Augusto Murri,residenziale,
Via Musone,residenziale,
Via Pietro Nenni,residenziale,
Via Ippolito Nievo,residenziale,
Via Norvegia,residenziale,
Piazza Nova,residenziale,
Piazza Guglielmo Oberdan,residenziale,
Via Olanda,residenziale,
Via Fratelli Paladini,residenziale,
Via Palestro,residenziale,
Via Pantiere,residenziale,
Via Paradiso,residenziale,
Via Ferruccio Parri,residenziale,
Via Archimede Pasquinelli,residenziale,
Costa Pastorina,residenziale,
Via Pastrengo,residenziale,
Piazza Alberto Pellegrini,residenziale,
Via Padre Vincenzo Pellegrini,residenziale,
Via Giovan Battista Pergolesi,residenziale,
Via Sandro Pertini,residenziale,
Via Pier Matteo Petrucci,residenziale,
Via Bernardo Pezzolet,residenziale,
Via Piandelmedico,residenziale,
Via Piave,residenziale,
Via Piccitu',residenziale,
Via Piemonte,residenziale,
Via Adeodato Pieralisi,industriale,
Via Luigi Pieralisi,industriale,
Via Piersanti Mattarella,residenziale,
Via Giuseppe Pirani,residenziale,
Via Francesco Politi,residenziale,
Via Marco Polo,residenziale,
Via Polonia,residenziale,
Via Ponte Pio,residenziale,
Piazza Baccio Pontelli,residenziale,
Piazzale Porta Valle,residenziale,
Via Posterma,residenziale,
Viale Giacomo Puccini,residenziale,
Via Puglie,residenziale,
Via Don Pino Puglisi,residenziale,
Via Giuseppe Radiciotti,residenziale,
Via Ragazzi del '99,residenziale,
Via Ranieri Honorati,residenziale,
Via Gaetano Ravagli,residenziale,
Piazza Francesco Redi,residenziale,
Via Don Arduino Rettaroli,residenziale,
Piazza Domenico Ricci,residenziale,
Via Matteo Ricci,residenziale,
Via Rinaldi,residenziale,
Via Rincrocca,residenziale,
Vicolo Rincrocca 2,residenziale,
Via Ripa Bianca,residenziale,
Vicolo Ripanti,residenziale,
Via Roccabella,residenziale,
Vicolo Roccabella 1,residenziale,
Vicolo Roccabella 2,residenziale,
Vicolo Rocchi,residenziale,
Via Roma,residenziale,
Via Romania,residenziale,
Via Roncaglia,residenziale,
Via Livatino Rosario,residenziale,
Via Ruggero Rosi,residenziale,
Via Goffredo Rosini,residenziale,
Via Guido Rossa,residenziale,
Via Fratelli Rosselli,residenziale,
Via Ernesto Rossi,residenziale,
Via Gioacchino Rossini,residenziale,
Via Bertrand Russel,residenziale,
Piazza Rafael Sabatini,residenziale,
Via Sabbioni,residenziale,
Via Aurelio Saffi,residenziale,
Via Lorenzo e Jacopo Salimbeni,residenziale,
Via Gaetano Salvemini,residenziale,
Via Giambattista Salvi,residenziale,
Via Salvoni,residenziale,
Costa San Benedetto,residenziale,
Costa San Domenico,residenziale,
Via San Floriano,residenziale,
Via San Francesco,residenziale,
Via San Giuseppe,residenziale,
Via San Marcello,residenziale,
Costa San Marco,residenziale,
Via San Marco,residenziale,
Via San Marino,residenziale,
Via San Martino,residenziale,
Vicolo San Nicolo',residenziale,
Via San Pietro Martire,residenziale,
Piazza San Romualdo,residenziale,
Piazzale San Savino,residenziale,
Piazza Sansovino,residenziale,
Chiostro Sant'Agostino,residenziale,
Via Sant'Antonio da Padova,residenziale,
Vicolo Santa Chiara,residenziale,
Via Santa Lucia,residenziale,
Via Santa Maria,residenziale,
Via Santa Maria del Colle,residenziale,
Via Fernando Santi,residenziale,
Via Santoni,residenziale,
Via Raffaello Sanzio,residenziale,
Via Sardegna,residenziale,
Via Antonino Sarti,residenziale,
Via Nazario Sauro,residenziale,
Via Mario Saveri,residenziale,
Via Albert Schweitzer,residenziale,
Via Rocco Scotellaro,residenziale,
Via Sentino,residenziale,
Via Sicilia,residenziale,
Via Ignazio Silone,residenziale,
Via Siro Solazzi,residenziale,
Piazza Amedeo Soverchia,residenziale,
Via Spina,residenziale,
Piazza Gaspare Spontini,residenziale,
Via Staffolo,residenziale,
Strada Statale 76/bis,residenziale,
Via Don Luigi Sturzo,residenziale,
Via Svezia,residenziale,
Via Svizzera,residenziale,
Via Tabano,periferia_ovest,
Via Orfeo Tamburi,residenziale,
Via Walter Tobagi,residenziale,
Via Palmiro Togliatti,residenziale,
Via Leone Tolstoj,residenziale,
Via Torre,residenziale,
Via Toscana,residenziale,
Vicolo Tosi,residenziale,
Via Trento,residenziale,
Viale Trieste,residenziale,
Via Tronto,residenziale,
Via Filippo Turati,residenziale,
Vicolo Ubaldini,residenziale,
Via Umbria,residenziale,
Via Ungheria,residenziale,
Via Carlo Urbani,residenziale,
Via Valche,residenziale,
Via Valle,residenziale,
Via Valle d'Aosta,residenziale,
Via Venetica,residenziale,
Viale Giuseppe Verdi,residenziale,
Piazza Andrea Vesalio,residenziale,
Via Vicenza,residenziale,
Piazza VIII Marzo,residenziale,
Via Villa Borgognoni,residenziale,
Via Beppe Viola,residenziale,
Via Vittorio Veneto,residenziale,
Via Volteja,residenziale,
Via Volturno,residenziale,
Via XV Settembre,residenziale,
Via XX Luglio,residenziale,
Via XX Settembre,residenziale,
Via XXIV Maggio,residenziale,
Piazza XXV Aprile,residenziale,
Via Amos Zanibelli,residenziale,
Via Alfredo Zannoni,residenziale,
Via Fratelli Zappelli,residenziale,
Via Zara,residenziale,
Via Fratelli Zuccari,residenziale,
Via Pieralisi,industriale,
Corso Matteotti,residenziale,
Via Garibaldi,residenziale,
Viale Don Minzoni,residenziale,
Via Galleria,residenziale,
Via Coppara,periferia_ovest,
Via Ghislieri,residenziale,
